"","Price","Sqft","Bed","Bath","Air","Garage","Pool","Year","Quality","Style","Lot","Highway"
"129",465000,4453,7,5,1,2,0,1974,1,7,15595,0
"145",440000,2892,4,4,1,2,0,1977,2,6,35839,0
"53",112000,1668,2,1,0,1,0,1948,3,1,19612,0
"72",830000,3889,4,4,1,3,0,1991,1,7,28378,0
"68",177000,1985,3,1,0,2,0,1948,3,1,69975,1
"2",340000,2058,4,2,1,2,0,1976,2,1,22912,0
"83",578000,3808,5,4,1,3,0,1982,1,7,23324,0
"58",420000,2283,3,3,1,3,0,1997,1,1,18524,1
"141",379900,2380,3,3,1,3,0,1998,2,1,21999,0
"122",393000,2472,4,4,1,3,0,1987,1,1,21784,0
"21",211000,1578,4,3,1,2,0,1986,2,2,18829,0
"6",248000,1966,4,3,1,5,1,1972,2,1,18902,0
"110",529000,3351,5,4,1,3,0,1994,1,7,24216,0
"26",170900,2020,1,2,1,1,0,1956,2,1,21385,0
"32",280000,2540,3,2,0,2,0,1940,2,5,42428,0
"171",249900,1936,4,4,1,3,0,1987,2,3,12850,0
"47",155000,1733,4,1,1,1,0,1936,3,4,22398,0
"130",451500,4080,5,4,1,3,0,1983,1,7,22134,0
"18",335250,2747,3,4,1,2,0,1993,2,7,22241,0
"34",272000,2560,4,2,1,3,0,1977,2,5,36100,0
"64",200000,2110,5,3,1,2,0,1957,2,1,15332,1
"151",475000,3377,4,3,1,3,0,1997,2,7,22495,0
"150",430000,4022,6,4,1,3,0,1986,2,7,18429,0
"56",360000,2304,5,4,1,3,0,1978,2,1,70240,0
"42",183500,1540,3,2,1,2,0,1992,3,3,15801,0
"19",323900,2890,4,3,1,2,0,1954,2,7,41992,0
"20",200000,1825,3,3,1,2,0,1957,2,1,30266,0
"92",389900,2817,4,3,1,3,0,1996,1,7,31214,0
"159",350000,2274,4,3,1,3,0,1986,2,1,22049,0
"31",164500,1460,3,2,1,2,0,1978,2,1,9999,0
"102",570000,2547,2,3,1,3,0,1996,1,1,21789,0
"148",317500,2620,3,2,1,3,0,1925,2,7,12266,0
"96",600000,2344,4,3,1,2,0,1925,1,1,86004,0
"45",149500,1580,2,1,1,2,0,1966,3,1,11166,0
"57",104000,1268,2,1,0,1,0,1947,3,1,21067,0
"111",490000,3136,4,4,1,3,0,1989,1,7,27158,0
"82",657500,3877,3,3,1,3,0,1992,1,7,24639,0
"123",530000,2878,4,4,1,3,0,1992,1,1,68351,0
"77",790000,4418,5,5,1,3,0,1997,1,7,22024,0
"52",160000,1496,2,2,0,1,0,1900,3,5,43335,0
"103",479000,5032,7,3,1,3,0,1989,1,7,22000,0
"112",535000,3525,4,5,1,3,0,1996,1,7,27501,0
"153",400000,3540,4,4,1,3,1,1980,2,7,18012,0
"40",171900,1580,2,1,0,1,0,1951,3,4,12417,0
"88",519000,3386,4,4,1,3,0,1994,1,7,24008,0
"49",178000,2038,2,2,0,2,0,1918,3,7,47884,0
"63",253000,2222,4,2,0,2,0,1955,2,1,71527,1
"12",559000,2791,3,4,1,3,0,1992,1,1,30595,0
"29",160000,2208,2,2,1,2,0,1985,2,7,8058,0
"23",245000,2517,4,3,1,2,0,1965,2,1,23261,0
"75",585500,3302,4,3,1,3,0,1982,1,7,26463,0
"160",437632,2936,4,3,1,3,0,1980,2,5,22844,0
"54",84000,980,1,1,0,1,0,1951,3,1,17686,0
"9",195000,1622,3,2,1,2,0,1975,3,1,14321,0
"16",527000,3232,5,5,1,2,0,1984,2,6,21445,0
"97",582500,4264,5,4,1,4,0,1995,1,7,24983,0
"71",675000,3942,4,3,1,2,0,1990,1,7,18920,0
"140",460000,3068,4,4,1,3,0,1988,2,7,18289,0
"125",403500,3858,4,4,1,3,0,1987,1,7,22224,0
"94",535000,3588,4,5,1,3,0,1987,1,7,22530,0
"8",150000,1597,2,1,1,1,0,1955,2,1,22112,0
"36",157500,1980,3,2,1,2,0,1957,2,1,32519,0
"146",500000,3832,4,3,1,2,0,1952,2,1,28722,0
"35",180000,2061,4,2,0,2,0,1958,2,1,20138,0
"50",156000,1436,3,2,0,3,0,1920,3,1,43594,0
"127",380000,3460,5,4,1,2,0,1972,1,1,18571,0
"1",360000,3032,4,4,1,2,0,1972,2,1,22221,0
"164",295000,2536,3,3,1,3,0,1987,2,7,39427,0
"121",470000,3430,3,4,1,2,1,1966,1,7,25018,0
"79",725000,3242,3,3,1,3,0,1989,1,1,27173,0
"39",178000,1460,4,2,1,2,0,1961,3,1,27095,0
"17",169900,1502,2,2,1,2,0,1956,2,1,28958,0
"69",585000,2558,2,4,1,3,1,1984,1,3,24601,0
"59",355000,2060,2,3,1,2,0,1997,2,1,38623,1
"80",647000,2464,3,3,1,3,0,1992,1,1,31703,0
"108",528750,2129,0,0,1,3,0,1992,1,1,37414,0
"41",165500,1460,3,2,1,2,0,1960,3,1,22493,0
"165",313500,3314,2,3,1,3,0,1984,2,7,24339,0
"10",160000,1976,3,3,0,1,0,1918,3,1,32358,0
"139",478000,3369,5,4,1,3,0,1981,2,7,21161,0
"25",295000,3266,3,3,1,2,0,1908,2,6,24881,0
"24",140400,1872,3,2,1,2,0,1985,2,3,24017,0
"62",179900,1696,3,3,1,2,0,1978,2,2,22294,1
"98",545000,2615,3,3,1,3,0,1996,1,1,21722,0
"163",352000,3131,4,4,1,2,0,1988,2,7,15209,0
"65",200000,1774,4,2,0,2,0,1963,3,1,15528,1
"119",325000,3266,4,3,1,3,0,1985,1,7,16640,0
"37",242500,3308,5,4,1,2,0,1928,2,5,47323,0
"30",259000,3048,6,4,1,3,0,1960,2,7,29307,0
"118",424000,2918,4,4,1,3,0,1988,1,7,22003,0
"166",330000,2230,3,2,1,2,0,1986,2,1,24798,0
"144",675000,3855,4,4,1,3,0,1996,2,7,35845,0
"114",442500,2702,4,3,1,3,0,1991,1,1,39643,0
"132",550000,3828,4,5,1,2,1,1975,1,1,17051,0
"161",447500,2526,2,2,1,0,0,1996,2,1,28248,0
"85",484530,2940,3,3,1,3,1,1979,1,7,20639,0
"170",399900,3262,5,4,1,2,0,1978,2,7,25541,0
"133",450000,2973,4,3,1,2,0,1980,2,7,21999,0
"81",780000,4419,4,5,1,7,0,1987,1,1,56127,0
"95",640000,2705,3,3,1,3,0,1994,1,1,22196,0
"109",370000,2936,4,4,1,3,0,1987,1,7,16437,0
"169",340000,2756,4,3,1,2,1,1973,2,7,22546,0
"3",250000,1780,4,3,1,2,0,1980,2,1,21345,0
"107",505500,3516,4,4,1,3,0,1979,1,7,19867,0
"28",218500,2080,3,2,1,2,1,1959,2,1,14752,0
"93",649000,3210,3,5,1,3,0,1995,1,1,30033,0
"44",175000,1624,3,2,1,2,0,1948,3,1,39219,0
"154",395000,3045,4,3,1,1,0,1991,2,7,34356,0
"74",855000,4756,4,4,1,3,0,1990,1,7,22215,0
"91",399900,3321,3,4,1,3,1,1971,1,7,15012,0
"89",625100,3648,4,4,1,3,0,1992,1,7,26604,0
"48",145000,1896,3,2,0,2,0,1925,3,6,32753,0
"116",539000,3072,4,4,1,3,0,1992,1,1,25158,0
"152",389000,2858,5,4,1,1,0,1989,2,7,23981,0
"126",550000,2742,3,3,1,3,0,1991,1,1,22306,0
"137",380000,3092,3,4,1,2,0,1978,2,3,20081,0
"87",635000,2672,4,3,1,3,0,1995,1,1,28049,0
"22",212000,1763,3,3,1,2,0,1959,2,1,24726,0
"51",159000,1690,3,2,0,1,0,1922,3,5,28518,0
"84",500000,3376,5,4,1,2,0,1947,1,7,18452,0
"99",480000,3608,6,4,1,3,0,1981,1,7,25219,0
"158",353000,2668,4,3,1,2,0,1978,2,2,18384,0
"7",229900,2216,3,2,1,2,0,1972,2,7,18639,0
"14",525000,3459,5,4,1,2,0,1978,1,5,35351,0
"136",415000,2362,3,3,1,2,0,1977,2,3,21604,0
"66",147700,1592,3,2,1,2,0,1957,3,1,11221,1
"147",470000,3164,6,4,1,2,0,1982,2,7,20505,0
